name,Mins,Goals,Goals_Per_Min
 Sandro Lima,2747,10,0.003640335
 Santi Cazorla,2513,11,0.004377238
 Santi Mina,2127,6,0.002820874
 Sergi Guardiola,2815,8,0.002841918
 T. Abraham,2380,15,0.006302521
 T. Deeney,2382,10,0.004198153
 T. Hazard,2460,7,0.002845528
 T. Müller,2287,8,0.003498032
 T. Pukki,3087,11,0.00356333
 T. Werner,2744,28,0.010204082
 Toni Martínez,2312,10,0.00432526
 V. Osimhen,2434,13,0.005341002
 W. Ben Yedder,2321,18,0.007755278
 W. Cyprien,1908,7,0.003668763
 W. Weghorst,2893,16,0.005530591
 Wesley,1894,5,0.002639916
 Willian,2808,9,0.003205128
 Willian José,2171,11,0.005066789
 Wu Lei,1860,4,0.002150538
 Y. En-Nesyri,2405,8,0.003326403
 Y. Poulsen,1221,5,0.004095004
 Zé Luís,1243,7,0.005631537
